ISim P.20131013 (signature 0x7708f090)
This is a Full version of ISim.
Time resolution is 1 ps
Simulator is doing circuit initialization process.
Finished circuit initialization process.
@00003c5c: $31 <= 00000060
@00003c64: $31 <= 00000004
@00003c68: $31 <= 00000068
@00003c6c: $31 <= 0000003c
@00003c7c: $31 <= 00000040
@00003c84: $31 <= 0000001c
@00003c88: $31 <= 00000038
@00003c8c: $31 <= 00000060
@00003c9c: $31 <= 00000068
@00003ca0: $31 <= 00000070
@00003ca4: $31 <= 00000014
@00003ca8: $31 <= 0000004c
@00003cac: $31 <= 00000058
@00003cbc: $31 <= 00000060
@00003cc0: $31 <= 00000068
@00003cc4: $31 <= 00000000
@00003cc8: $31 <= 00000000
@00003ccc: $31 <= 00000000
@00003cd8: $ 9 <= 00000000
@00003ce0: $31 <= 00000000
@00003ce8: $31 <= 00000004
@00003cec: $31 <= 00000068
@00003cf0: $31 <= 0000003c
@00003cfc: $ 9 <= 0000003c
@00003d04: $31 <= 00000044
@00003d0c: $31 <= 00000018
@00003d10: $31 <= 00000044
@00003d14: $31 <= 00000014
@00003d20: $ 9 <= 00000015
@00003d28: *00001014 <= 00000014
@00003d2c: $31 <= 00000018
@00003d30: $ 8 <= 000008ae
@00003d34: *00000800 <= 000008ae
@00003d38: $ 8 <= 00000d05
@00003d3c: *00000804 <= 00000d05
@00003d40: $ 8 <= 0000115c
@00003d44: *00000808 <= 0000115c
